Certains	PRO:IND	certain
La	DET:ART	le
mobilisation	NOM	mobilisation
,	PUN	,
orchestrée	VER:pper	orchestrer
notamment	ADV	notamment
par	PRP	par
l’association	NOM	l’association
Zone	NAM	Zone
Franche	NAM	Franche
fédérant	VER:ppre	fédérer
des	PRP:det	du
professionnels	NOM	professionnel
de	PRP	de
cette	PRO:DEM	ce
filière	NOM	filière
musicale	ADJ	musical
et	KON	et
Live-Boutique	ADJ	Live-Boutique
,	PUN	,
un	DET:ART	un
regroupement	NOM	regroupement
de	PRP	de
producteurs	NOM	producteur
de	PRP	de
spectacles	NOM	spectacle
indépendants	ADJ	indépendant
,	PUN	,
a	VER:pres	avoir
porté	VER:pper	porter
ses	DET:POS	son
fruits	NOM	fruit
.	SENT	.
Plutôt	ADV	plutôt
que	KON	que
de	PRP	de
prononcer	VER:infi	prononcer
la	DET:ART	le
liquidation	NOM	liquidation
de	PRP	de
la	DET:ART	le
structure	NOM	structure
,	PUN	,
le	DET:ART	le
tribunal	NOM	tribunal
de	PRP	de
grande	ADJ	grand
instance	NOM	instance
d’Angoulême	ADJ	d’Angoulême
avait	VER:impf	avoir
opté	VER:pper	opter
,	PUN	,
le	DET:ART	le
28	NUM	@card@
janvier	NOM	janvier
,	PUN	,
pour	PRP	pour
un	DET:ART	un
redressement	NOM	redressement
judicaire	ADJ	judicaire
,	PUN	,
sous	PRP	sous
contrôle	NOM	contrôle
d’un	ADJ	d’un
mandataire	NOM	mandataire
.	SENT	.
Les	DET:ART	le
artistes	NOM	artiste
ont	VER:pres	avoir
répondu	VER:pper	répondre
présent	ADJ	présent
,	PUN	,
permettant	VER:ppre	permettre
à	PRP	à
Patrick	NAM	Patrick
Duval	NAM	Duval
,	PUN	,
programmateur	NOM	programmateur
du	PRP:det	du
Festival	NAM	Festival
et	KON	et
successeur	NOM	successeur
de	PRP	de
Christian	NAM	Christian
Mouset	NAM	Mouset
,	PUN	,
son	DET:POS	son
fondateur	NOM	fondateur
,	PUN	,
à	PRP	à
cette	PRO:DEM	ce
tâche	NOM	tâche
,	PUN	,
de	PRP	de
monter	VER:infi	monter
,	PUN	,
en	PRP	en
un	DET:ART	un
temps	NOM	temps
record	NOM	record
,	PUN	,
un	DET:ART	un
programme	NOM	programme
attractif	ADJ	attractif
et	KON	et
de	PRP	de
qualité	NOM	qualité
,	PUN	,
avec	PRP	avec
entre	PRP	entre
autres	ADJ	autre
,	PUN	,
les	DET:ART	le
enchanteurs	NOM	enchanteur
dns-remplacé	ADJ	dns-remplacé
<repdns text="Ala.ni" />
,	PUN	,
Ballaké	NAM	Ballaké
Sissoko	NAM	Sissoko
&	SYM	&
Vincent	NAM	Vincent
Segal	NAM	Segal
,	PUN	,
les	DET:ART	le
toniques	ADJ	tonique
chiliens	NOM	chilien
Chico	NAM	Chico
Trujillo	NAM	Trujillo
et	KON	et
en	PRP	en
tête	NOM	tête
d’affiche	ADJ	d’affiche
,	PUN	,
Kassav’	NAM	Kassav’
,	PUN	,
l’infatigable	ADJ	l’infatigable
–	PUN	–
plus	ADV	plus
de	PRP	de
trente-cinq	NUM	trente-cinq
ans	NOM	an
de	PRP	de
carrière	NOM	carrière
–	PUN	–
et	KON	et
toujours	ADV	toujours
efficace	ADJ	efficace
groupe	NOM	groupe
caribéen	NOM	caribéen
(	PUN	(
«	PUN:cit	«
les	DET:ART	le
James	NAM	James
Brown	NAM	Brown
des	PRP:det	du
Caraïbes	NAM	Caraïbes
»	PUN:cit	»
pour	PRP	pour
Vincent	NAM	Vincent
Segal	NAM	Segal
)	PUN	)
.	SENT	.
Concentré	VER:pper	concentrer
sur	PRP	sur
deux	NUM	deux
jours	NOM	jour
(	PUN	(
au	PRP:det	au
lieu	NOM	lieu
de	PRP	de
trois	NUM	trois
)	PUN	)
,	PUN	,
respectant	VER:ppre	respecter
un	DET:ART	un
des	PRP:det	du
fondamentaux	ADJ	fondamental
voulus	VER:pper	vouloir
par	PRP	par
le	DET:ART	le
créateur	NOM	créateur
de	PRP	de
Musiques	NAM	Musiques
Métisses	NAM	Métisses
,	PUN	,
en	PRO:PER	en
proposant	VER:ppre	proposer
,	PUN	,
à	PRP	à
côté	NOM	côté
des	PRP:det	du
concerts	NOM	concert
payants	ADJ	payant
donnés	VER:pper	donner
à	PRP	à
la	DET:ART	le
Nef	NAM	Nef
,	PUN	,
salle	NOM	salle
de	PRP	de
musiques	NOM	musique
actuelles	ADJ	actuel
d’Angoulême	ADJ	d’Angoulême
(	PUN	(
où	PRO:REL	où
le	DET:ART	le
festival	NOM	festival
a	VER:pres	avoir
été	VER:pper	être
déplacé	VER:pper	déplacer
pour	PRP	pour
éviter	VER:infi	éviter
le	DET:ART	le
surcoût	NOM	surcoût
occasionné	VER:pper	occasionner
par	PRP	par
l’aménagement	NOM	l’aménagement
de	PRP	de
l’île	NOM	l’île
de	PRP	de
Bourgines	NAM	Bourgines
,	PUN	,
son	DET:POS	son
lieu	NOM	lieu
de	PRP	de
vie	NOM	vie
habituel	ADJ	habituel
)	PUN	)
,	PUN	,
une	DET:ART	un
scène	NOM	scène
avec	PRP	avec
des	PRP:det	du
concerts	NOM	concert
gratuits	ADJ	gratuit
.	SENT	.
«	PUN:cit	«
Un	ABR	Un
festival	NOM	festival
de	PRP	de
résistance	NOM	résistance
»	PUN:cit	»
Le	DET:ART	le
chanteur	NOM	chanteur
et	KON	et
guitariste	NOM	guitariste
Blick	NAM	Blick
Bassy	NAM	Bassy
s’y	NAM	s’y
est	VER:pres	être
produit	VER:pper	produire
en	PRP	en
ouverture	NOM	ouverture
le	DET:ART	le
samedi	NOM	samedi
14	NUM	@card@
mai	NOM	mai
après-midi	NOM	après-midi
.	SENT	.
Il	PRO:PER	il
s’est	NOM	s’est
dit	VER:pres	dire
heureux	ADJ	heureux
d’être	NOM	d’être
là	ADV	là
,	PUN	,
fier	VER:infi	fier
de	PRP	de
participer	VER:infi	participer
et	KON	et
de	PRP	de
soutenir	VER:infi	soutenir
ce	PRO:DEM	ce
festival	NOM	festival
.	SENT	.
Blick	NAM	Blick
Bassy	NAM	Bassy
interprète	VER:pres	interpréter
,	PUN	,
en	PRP	en
solo	NOM	solo
,	PUN	,
sa	DET:POS	son
propre	ADJ	propre
lecture	NOM	lecture
du	PRP:det	du
blues	NOM	blues
,	PUN	,
en	PRO:PER	en
bassa	VER:simp	bassa
,	PUN	,
sa	DET:POS	son
langue	NOM	langue
natale	ADJ	natal
(	PUN	(
une	NUM	un
des	PRP:det	du
260	NUM	@card@
parlées	VER:pper	parler
au	PRP:det	au
Cameroun	NAM	Cameroun
)	PUN	)
,	PUN	,
s’accompagne	NOM	s’accompagne
au	PRP:det	au
banjo	NOM	banjo
ou	KON	ou
à	PRP	à
la	DET:ART	le
guitare	NOM	guitare
,	PUN	,
reprend	VER:pres	reprendre
le	DET:ART	le
répertoire	NOM	répertoire
de	PRP	de
son	DET:POS	son
album	NOM	album
Akö	NAM	Akö
(	PUN	(
un	NUM	un
de	PRP	de
nos	DET:POS	notre
coups	NOM	coup
de	PRP	de
cœur	NOM	cœur
en	PRP	en
2015	NUM	@card@
)	PUN	)
,	PUN	,
paru	VER:pper	paraître
sur	PRP	sur
le	DET:ART	le
label	NOM	label
No	VER:futu	No
format	NOM	format
.	SENT	.
Sa	DET:POS	son
voix	NOM	voix
et	KON	et
sa	DET:POS	son
musique	NOM	musique
qui	PRO:REL	qui
transportent	VER:pres	transporter
les	DET:ART	le
oreilles	NOM	oreille
au-delà	ADV	au-delà
de	PRP	de
l’ordinaire	NOM	l’ordinaire
,	PUN	,
certains	PRO:IND	certain
les	PRO:PER	la|le
découvrent	VER:pres	découvrir
ici	ADV	ici
.	SENT	.
L’auteure	VER:pres	L’auteure
belge	ADJ	belge
Lieve	NAM	Lieve
Joris	NAM	Joris
(	PUN	(
Sur	NAM	Sur
les	DET:ART	le
ailes	NOM	aile
du	PRP:det	du
dragon	NOM	dragon
,	PUN	,
paru	VER:pper	paraître
en	PRP	en
2015	NUM	@card@
chez	PRP	chez
Actes	ADJ	Actes
Sud	NOM	Sud
)	PUN	)
nous	PRO:PER	nous
fait	VER:pres	faire
partager	VER:infi	partager
son	DET:POS	son
enthousiasme	NOM	enthousiasme
.	SENT	.
Elle	PRO:PER	elle
est	VER:pres	être
l’une	NOM	l’une
des	PRP:det	du
invitées	NOM	invité
de	PRP	de
Littératures	NAM	Littératures
Métisses	NAM	Métisses
,	PUN	,
les	DET:ART	le
rencontres	NOM	rencontre
littéraires	ADJ	littéraire
orchestrées	VER:pper	orchestrer
par	PRP	par
Bernard	NAM	Bernard
Magnier	NAM	Magnier
,	PUN	,
organisées	VER:pper	organiser
chaque	PRO:IND	chaque
année	NOM	année
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
du	PRP:det	du
festival	NOM	festival
musical	ADJ	musical
.	SENT	.
Blick	NAM	Blick
Bassy	NAM	Bassy
(	PUN	(
qui	PRO:REL	qui
vient	VER:pres	venir
,	PUN	,
lui	PRO:PER	lui
,	PUN	,
de	PRP	de
sortir	VER:infi	sortir
son	DET:POS	son
premier	NUM	premier
roman	NOM	roman
chez	PRP	chez
Gallimard	NAM	Gallimard
,	PUN	,
Le	DET:ART	le
Moabi	NAM	Moabi
Cinema	NAM	Cinema
)	PUN	)
parle	VER:pres	parler
sur	PRP	sur
scène	NOM	scène
de	PRP	de
transmission	NOM	transmission
,	PUN	,
d’exemplarité	NOM	d’exemplarité
.	SENT	.
Des	PRP:det	du
messages	NOM	message
qui	PRO:REL	qui
prennent	VER:pres	prendre
tout	ADV	tout
leur	DET:POS	leur
sens	NOM	sen|sens
à	PRP	à
Musiques	NAM	Musiques
Métisses	NAM	Métisses
.	SENT	.
Lui	PRO:PER	lui
succédant	VER:ppre	succéder
sur	PRP	sur
scène	NOM	scène
,	PUN	,
le	DET:ART	le
Brésilien	NAM	Brésilien
à	PRP	à
la	DET:ART	le
guitare	NOM	guitare
et	KON	et
à	PRP	à
la	DET:ART	le
voix	NOM	voix
soyeuses	ADJ	soyeux
Tigana	NAM	Tigana
Santana	NAM	Santana
,	PUN	,
accompagné	VER:pper	accompagner
par	PRP	par
le	DET:ART	le
jeu	NOM	jeu
délicat	ADJ	délicat
du	PRP:det	du
percussionniste	NOM	percussionniste
Inor	NAM	Inor
Sotolongo	NAM	Sotolongo
,	PUN	,
se	PRO:PER	se
dira	VER:futu	dire
honoré	VER:pper	honorer
de	PRP	de
participer	VER:infi	participer
à	PRP	à
ce	PRO:DEM	ce
«	PUN:cit	«
festival	NOM	festival
de	PRP	de
la	DET:ART	le
résistance	NOM	résistance
qui	PRO:REL	qui
sait	VER:pres	savoir
montrer	VER:infi	montrer
la	DET:ART	le
richesse	NOM	richesse
métissée	VER:pper	métisser
de	PRP	de
l’être	NOM	l’être
humain	ADJ	humain
,	PUN	,
incite	VER:pres	inciter
à	PRP	à
ouvrir	VER:infi	ouvrir
les	DET:ART	le
oreilles	NOM	oreille
,	PUN	,
et	KON	et
pas	ADV	pas
seulement	ADV	seulement
les	DET:ART	le
oreilles	NOM	oreille
physiques	ADJ	physique
,	PUN	,
à	PRP	à
l’altérite	NOM	l’altérite
créative	ADJ	créatif
des	PRP:det	du
“	PUN:cit	“
autres	ADJ	autre
”	PUN:cit	”
cultures	NOM	culture
que	PRO:REL	que
la	DET:ART	le
sienne	PRO:POS	sien
.	SENT	.
»	PUN:cit	»
Un	ABR	Un
déluge	NOM	déluge
sonore	ADJ	sonore
Le	DET:ART	le
créatif	ADJ	créatif
musicien	NOM	musicien
et	KON	et
chanteur	NOM	chanteur
franco-libanais	VER:impf	franco-libanais
Bachar	NAM	Bachar
Mar-Khalifé	NAM	Mar-Khalifé
,	PUN	,
accompagné	VER:pper	accompagner
par	PRP	par
Dogan	NAM	Dogan
Poyraz	NAM	Poyraz
(	PUN	(
batterie	NOM	batterie
)	PUN	)
et	KON	et
Jerôme	NAM	Jerôme
Arrighi	NAM	Arrighi
(	PUN	(
basse	ADJ	bas
)	PUN	)
,	PUN	,
termine	VER:pres	terminer
son	DET:POS	son
concert	NOM	concert
,	PUN	,
le	DET:ART	le
lendemain	NOM	lendemain
,	PUN	,
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
de	PRP	de
la	DET:ART	le
Nef	NAM	Nef
,	PUN	,
par	PRP	par
un	DET:ART	un
déluge	NOM	déluge
sonore	ADJ	sonore
.	SENT	.
Un	DET:ART	un
cri	NOM	cri
,	PUN	,
une	DET:ART	un
rage	NOM	rage
qui	PRO:REL	qui
explose	VER:pres	exploser
?	SENT	?
Peut-être	ADV	peut-être
,	PUN	,
nous	PRO:PER	nous
explique	VER:pres	expliquer
plus	ADV	plus
tard	ADV	tard
le	DET:ART	le
musicien	NOM	musicien
dont	PRO:REL	dont
l’album	NOM	l’album
Ya	NAM	Ya
Balad	NAM	Balad
(	PUN	(
In	NAM	In
Finé	NAM	Finé
)	PUN	)
a	VER:pres	avoir
été	VER:pper	être
censuré	VER:pper	censurer
par	PRP	par
les	DET:ART	le
autorités	NOM	autorité
,	PUN	,
en	PRP	en
avril	NOM	avril
,	PUN	,
au	PRP:det	au
Liban	NAM	Liban
,	PUN	,
les	DET:ART	le
paroles	NOM	parole
de	PRP	de
sa	DET:POS	son
chanson	NOM	chanson
Kyrie	NAM	Kyrie
Eleison	NAM	Eleison
étant	VER:ppre	être
accusées	VER:pper	accuser
de	PRP	de
porter	VER:infi	porter
«	PUN:cit	«
atteinte	NOM	atteinte
à	PRP	à
l’entité	NOM	l’entité
divine	ADJ	divin
»	PUN:cit	»
.	SENT	.
Bachar	NAM	Bachar
Mar-Khalifé	NAM	Mar-Khalifé
a	VER:pres	avoir
chanté	VER:pper	chanter
sa	DET:POS	son
chanson	NOM	chanson
au	PRP:det	au
Liban	NAM	Liban
en	PRP	en
avril	NOM	avril
,	PUN	,
où	PRO:REL	où
il	PRO:PER	il
donnait	VER:impf	donner
son	DET:POS	son
premier	NUM	premier
concert	NOM	concert
là-bas	ADV	là-bas
.	SENT	.
Il	PRO:PER	il
a	VER:pres	avoir
chanté	VER:pper	chanter
ce	PRO:DEM	ce
titre	NOM	titre
à	PRP	à
Musiques	NAM	Musiques
Métisses	NAM	Métisses
,	PUN	,
y	PRO:PER	y
redemandant	VER:ppre	redemander
à	PRP	à
Dieu	NOM	Dieu
de	PRP	de
«	PUN:cit	«
nous	PRO:PER	nous
ficher	VER:infi	ficher|ficher
la	DET:ART	le
paix	NOM	paix
»	PUN:cit	»
.	SENT	.
«	PUN:cit	«
Je	PRO:PER	je
l’ai	VER:simp	l’ai
chantée	VER:pper	chanter
à	PRP	à
Beyrouth	NAM	Beyrouth
comme	KON	comme
je	PRO:PER	je
la	PRO:PER	la
chanterai	VER:futu	chanter
partout	ADV	partout
où	PRO:REL	où
je	PRO:PER	je
voudrai	VER:futu	vouloir
crier	VER:infi	crier
un	DET:ART	un
ras	NOM	ras
le	DET:ART	le
bol	NOM	bol
des	PRP:det	du
institutions	NOM	institution
politiques	ADJ	politique
ou	KON	ou
religieuses	ADJ	religieux
qui	PRO:REL	qui
veulent	VER:pres	vouloir
régir	VER:infi	régir
nos	DET:POS	notre
vies	NOM	vie
comme	KON	comme
on	PRO:PER	on
vivait	VER:impf	vivre
au	PRP:det	au
Moyen	NAM	Moyen
Âge	NOM	âge
,	PUN	,
crier	VER:infi	crier
mon	DET:POS	mon
humanité	NOM	humanité
face	NOM	face
aux	PRP:det	au
appareils	NOM	appareil
de	PRP	de
répression	NOM	répression
des	PRP:det	du
esprits	NOM	esprit
,	PUN	,
face	NOM	face
à	PRP	à
la	DET:ART	le
pauvreté	NOM	pauvreté
intellectuelle	ADJ	intellectuel
imposée	VER:pper	imposer
par	PRP	par
un	DET:ART	un
modèle	NOM	modèle
de	PRP	de
société	NOM	société
où	PRO:REL	où
l’argent	VER:pres	l’argent
est	VER:pres	être
la	DET:ART	le
référence	NOM	référence
unique	ADJ	unique
.	SENT	.
Crier	VER:infi	crier
aussi	ADV	aussi
mon	DET:POS	mon
être	NOM	être
,	PUN	,
le	DET:ART	le
refus	NOM	refus
de	PRP	de
me	PRO:PER	me
soumettre	VER:infi	soumettre
,	PUN	,
à	PRP	à
qui	PRO:REL	qui
que	KON	que
ce	PRO:DEM	ce
soit	VER:subp	être
ou	KON	ou
à	PRP	à
quoi	PRO	quoi
que	KON	que
ce	PRO:DEM	ce
soit	VER:subp	être
»	PUN:cit	»
,	PUN	,
a-t-il	ADJ	a-t-il
écrit	VER:pres	écrire
sur	PRP	sur
sa	DET:POS	son
page	NOM	page
Facebook	NAM	Facebook
,	PUN	,
le	DET:ART	le
13	NUM	@card@
avril	NOM	avril
.	SENT	.
«	PUN:cit	«
On	NAM	On
nous	PRO:PER	nous
oppresse	VER:pres	oppresser
,	PUN	,
on	PRO:PER	on
nous	PRO:PER	nous
dit	VER:pres	dire
de	PRP	de
ne	ADV	ne
pas	ADV	pas
parler	VER:infi	parler
trop	ADV	trop
fort	ADJ	fort
.	SENT	.
Ce	PRO:DEM	ce
cri	NOM	cri
,	PUN	,
c’est	NOM	c’est
un	DET:ART	un
message	NOM	message
de	PRP	de
liberté	NOM	liberté
que	PRO:REL	que
je	PRO:PER	je
veux	VER:pres	vouloir
exprimer	VER:infi	exprimer
,	PUN	,
nous	PRO:PER	nous
confie	VER:pres	confier
Bachar	NAM	Bachar
Mar-Khalifé	NAM	Mar-Khalifé
,	PUN	,
un	DET:ART	un
message	NOM	message
qu’on	NOM	qu’on
ne	ADV	ne
peut	VER:pres	pouvoir
pas	ADV	pas
faire	VER:infi	faire
jaillir	VER:infi	jaillir
avec	PRP	avec
une	DET:ART	un
telle	PRO:DEM	tel
force	NOM	force
ailleurs	ADV	ailleurs
que	KON	que
dans	PRP	dans
un	DET:ART	un
concert	NOM	concert
,	PUN	,
un	DET:ART	un
festival	NOM	festival
comme	ADV	comme
Musiques	ADJ	Musiques
Métisses	NAM	Métisses
»	PUN:cit	»
.	SENT	.
Kassav’	NOM	Kassav’
en	PRP	en
concert	NOM	concert
au	PRP:det	au
Zénith	NAM	Zénith
de	PRP	de
Paris	NAM	Paris
du	PRP:det	du
27	NUM	@card@
au	PRP:det	au
29	NUM	@card@
mai	NOM	mai
;	PUN	;
Ballaké	NAM	Ballaké
Sissoko	NAM	Sissoko
et	KON	et
Vincent	NAM	Vincent
Segal	NAM	Segal
à	PRP	à
Abscon	NAM	Abscon
(	PUN	(
59	NUM	@card@
)	PUN	)
,	PUN	,
le	DET:ART	le
28	NUM	@card@
mai	NOM	mai
,	PUN	,
au	PRP:det	au
Théâtre	NAM	Théâtre
des	PRP:det	du
Champs-Elysées	NAM	Champs-Elysées
à	PRP	à
Paris	NAM	Paris
,	PUN	,
le	DET:ART	le
31	NUM	@card@
mai	NOM	mai
;	PUN	;
Bachar	NAM	Bachar
Mar-Khalifé	NAM	Mar-Khalifé
à	PRP	à
Biarritz	NAM	Biarritz
(	PUN	(
64	NUM	@card@
)	PUN	)
,	PUN	,
le	DET:ART	le
18	NUM	@card@
mai	NOM	mai
,	PUN	,
à	PRP	à
Périgueux	NAM	Périgueux
(	PUN	(
24	NUM	@card@
)	PUN	)
,	PUN	,
le	DET:ART	le
19	NUM	@card@
mai	NOM	mai
.	SENT	.
